brand,product_name,gpu_name,gpu_codename,architecture,shading_units,base_clock,boost_clock,mem_type,mem_bus,launch_price,release_year,release_month,release_date_xsd,max_clock_mhz,mem_size_kb,mem_size_iri,mem_bus_iri,mem_bus_sort,bandwidth_mbs,is_system_dependent,fp32_gflops,tdp_watts,product_uri_id,brand_uri_id,arch_uri_id
ATI,Color Emulation Card,CW16800-A,,Wonder,,,,DRAM,32 bit,,1986,,1986-08-04,,32,mem_size_32_KB,memBus_32,32,20.0,False,,,ATI_83d6ec82cd,ATI,Wonder
ATI,Graphics Solution,CW16800-A,,Wonder,,,,DRAM,32 bit,,1986,,1986-09-22,,64,mem_size_64_KB,memBus_32,32,20.0,False,,,ATI_f86d8f884a,ATI,Wonder
ATI,EGA Wonder 800,16899-0 | CHIPS P82C435,,Wonder,,,,DRAM,32 bit,,1987,,1987-11-16,,256,mem_size_256_KB,memBus_32,32,32.0,False,,,ATI_08e5f7d0ba,ATI,Wonder
ATI,Graphics Solution Plus,CW16800-B,,Wonder,,,,DRAM,32 bit,,1987,,1987-03-23,,64,mem_size_64_KB,memBus_32,32,20.0,False,,,ATI_dc3b6311da,ATI,Wonder
ATI,VGA Improved Performance,16899-0 | CHIPS P82C441,,Wonder,,,,DRAM,32 bit,449,1987,,1987-09-28,,256,mem_size_256_KB,memBus_32,32,40.0,False,,,ATI_ff5925efd0,ATI,Wonder
ATI,EGA Wonder 480,16899-0 | CHIPS P82C435,,Wonder,,,,DRAM,32 bit,399,1988,,1988-12-26,,256,mem_size_256_KB,memBus_32,32,32.0,False,,,ATI_1ffb5f98aa,ATI,Wonder
ATI,EGA Wonder 800+,18800-1,,Wonder,,,,DRAM,32 bit,,1988,,,,256,mem_size_256_KB,memBus_32,32,32.0,False,,,ATI_d2bda38a14,ATI,Wonder
ATI,VGA Wonder,18800-1,,Wonder,,,,DRAM,32 bit,,1990,,1990-02-05,,256,mem_size_256_KB,memBus_32,32,40.0,False,,,ATI_75aba9c960,ATI,Wonder
ATI,VGA Wonder+,28800-5,,Wonder,,,,DRAM,32 bit,,1990,,1990-11-01,,512,mem_size_512_KB,memBus_32,32,40.0,False,,,ATI_e4a52da79d,ATI,Wonder
ATI,8514-Ultra,Mach8,,Mach,,,,VRAM,32 bit,799,1992,,,,1024,mem_size_1_MB,memBus_32,32,40.0,False,,,ATI_48f14d9d2e,ATI,Mach
